created_at,user.location,user.followers_count,user.friends_count,text
2019-02-28 06:59:12,,1047,1966,Butt why were Kim smiling??? Why are Kim &amp; Mr Trump's butts very cute??? I don't fucking understand.
2019-02-28 06:59:12,"Cologne, Germany",802,1992,President Donald Trump announced that the US will be applying for front runner in the #ArtificialIntelligence field… https://t.co/NcU1lNaBLj
2019-02-28 06:59:13,"Leimert Park, Los Angeles",10,154,Rockstar
2019-02-28 06:59:13,United States,323,1241,"🚫🚫NO DEAL🚫🚫 #soMuchWinning 
Tired of winning? 
#northKorea wants no deal with trump they are very observant of the… https://t.co/Ux8ifL8lDQ"
2019-02-28 06:59:13,,10,106,"Can’t you see he is uses strategy, to take your mind off of his screwups. He think he’s smart, DUH"
2019-02-28 06:59:13,London / UK,1156,3261,"Loyalty to Trump cost Michael Cohen everything. Republicans pay heed

https://t.co/AvJSWZJh27"
2019-02-28 06:59:13,"Greenock, Scotland",429,620,@MarieAnnUK @GillyHx3 I wouldn't care which side of the pond they were on. Trump and Farage could even share a cell.
2019-02-28 06:59:13,"Massachusetts, USA",106,442,"Trump, Kim downplay expectations as key talks get underway in Vietnam - The Washington Post.   Doesn’t sound as tho… https://t.co/5k5GFnBb0C"
2019-02-28 06:59:14,,9,0,Why are doing anything they were comfy as They were virulently anti-Trump why yal can’t explain to a
2019-02-28 06:59:14,"Seattle, Washington",248,453,BBC News - Trump-Kim talks end 'without agreement' https://t.co/3GrXUsTGxd
2019-02-28 06:59:14,United States,481,403,"These ppl are stupid

Openly calling for the overthrow of a “dictator” never goes badly"
2019-02-28 06:59:14,,103,219,only reason i don’t want trump for president in 2020 is bc i’m tired of everyone bitching ab that fool fr
2019-02-28 06:59:14,Australia,497,646,"Well, that was fast. Donald Trump and Kim Jong-un cut short their nuclear #summit after failing to reach an agreeme… https://t.co/lTievK70Fo"
2019-02-28 06:59:14,,107,39,"@tezuma75 @free351 That is not good. No lunch, no statement. And now we wait to see what if anything Trump says in… https://t.co/XGesryV94p"
2019-02-28 06:59:14,South Fla,302,646,"Trump policy on Venezuela= good

Trump policy on N Korea= https://t.co/WFYHHA2SJC"
2019-02-28 06:59:14,"San Francisco Bay Area, USA",5839,5224,"#BREAKING #BreakingNews
💥Donald Trump, Kim Jong Un unable to strike deal, call off nuclear weapons talks early… https://t.co/oLLT8gCyfE"
2019-02-28 06:59:14,,33,0,@kausmickey I also recall Cohen saying off-hand that Trump was doing some good things as president.
2019-02-28 06:59:14,Chula Vista,168,303,"Don't worry about the uptight paladin.
He's just mad
Cuz jumpers keep eluding him.

~DR"
2019-02-28 06:59:15,,1493,4986,"@realDonaldTrump @KellyannePolls 
DAMN EVEN YOUR OWN HUSBAND RECOGNIZING THE ""TRUTH"" ABOUT THIS ""CONMAN"" IN THE WHI… https://t.co/kLmySpmv8e"
2019-02-28 06:59:15,,86,121,@RegeWolf sabse tezzz 🏋️... This is now being reported on CNBC
2019-02-28 06:59:15,Scottsdale AZ,39,406,"Trump you’re a selfish rude arrogant son of a bitch. I look forward seeing you get impeached 

https://t.co/UOQFaWmT4A"
2019-02-28 06:59:15,"Seattle, WA",548,545,@AP Trump: I am going to have to cut this short. I need to get home and whine about Hillary Clinton conspiracies.
2019-02-28 06:59:16,,133,355,"@GOP That historic progress, Donny the Art of the Deal Trump,  has been cut short. I believe Southern District has… https://t.co/d93kSJGT6P"
2019-02-28 06:59:16,"New Hope, MN",343,166,:DT through a temper tantrum over Cohen testimony and KJU through him out
2019-02-28 06:59:16,AZ,3712,1005,Epic fail
2019-02-28 06:59:16,Wisconsin,414,756,Trump - GITMO and Military Tribunal https://t.co/YM4VbpJqaj via @YouTube
2019-02-28 06:59:16,,34,169,@Acosta Trump dropped his pants and caved on everything yet he STILL couldn't get anything done.  Not suprising.
2019-02-28 06:59:16,Worldwide,149,374,Trump did this meeting to get away from Michael Cohen testimony
