created_at,user.location,user.followers_count,user.friends_count,text
2019-02-19 11:12:24,"Manchester, UK",1037,1020,"Struggle to manage your volunteers?😫

Sick of using spreadsheets?💻

TeamKinetic could be the solution for you! Chec… https://t.co/cM3SqJRUP7"
2019-02-19 11:12:25,London,338,759,"#MaliaObama is a #humanbeing with #political #opinions and also enjoys #wine. The only thing worth worrying is, she… https://t.co/C1Eth85WMp"
2019-02-19 11:12:23,,69,1154,"A little extra can go a long way by adding in some garden games or food stalls to keep guests entertained.

#events… https://t.co/haO942vr9Q"
2019-02-19 11:12:27,Beyσnd the \/\/σrld,1020,1496,you try to count &amp; recall how you spent it. 3. Don't think of saving until you have real big money. How can you sav… https://t.co/GDcJtSMKa6
2019-02-19 11:12:31,west yorkshire and south,597,1201,Half term madness!! We LOVE it! Need suggestions for days with the kids...come and pay us a visit @Chiquestudios ..… https://t.co/iShBxGwdpW
2019-02-19 11:12:32,"Kent, UK",2961,800,"Ever decided that enough is enough? #TuesdayThoughts 
A gorgeous #romantic #comedy from the bestselling author of W… https://t.co/xjzGHPRCHk"
2019-02-19 11:12:33,"Woolavington, Somerset",483,510,I bet she feels udderly ridiculous now 🤣
2019-02-19 11:12:37,"Islas Canarias, España",426,654,The @UKLabour demonstrates the #LabourSplit claims of the party being hijacked by far left militants is false by re… https://t.co/3Ajs3oqk9w
2019-02-19 11:12:44,"Nairobi, Kenya.",37447,368,"Keep all important phone numbers, addresses, confirmation numbers, and similar in one of your notes apps. Notepad,… https://t.co/b5VIv60FrP"
2019-02-19 11:12:46,,1728,4627,#TuesdayThoughts Keep your head up ❤️✨ https://t.co/9zVpUH0J97
2019-02-19 11:12:46,"Lagos, Nigeria",3419,1502,"#TuesdayThoughts
 #tuesdaymotivation

Let your thoughts today be as clear as this pic... https://t.co/CcXJawFy0G"
2019-02-19 11:12:48,,0,1,RT #tiktok Fusion5 tablet: https://t.co/cIpvWE6wXz  #taheemrajat Web: https://t.co/3ut3zxH3xB FB:… https://t.co/cyyiO4as5R
2019-02-19 11:12:49,"Los Angeles, CA",11641,11667,#TuesdayThoughts: #Farrakhan Praises #Omar’s Anti-Semitic Remarks: ‘Shake Up That Bad Cat In That Corrupt House’… https://t.co/VqlVkd7ev3
2019-02-19 11:12:53,"Kentucky, USA",4148,4999,"#tuesdaythoughts As we all know by now, the #JessieSmollettHoax was fake news. As we find out over &amp; over again tha… https://t.co/YN2nQHQ7sl"
2019-02-19 11:12:54,"Holborn, London",306,298,#Lord #Chief #Justice: ‘Call out’ #sexism on the #bench https://t.co/10O5nlFWpj #TuesdayThoughts
2019-02-19 11:12:59,Kenya,2597,3625,"Some of your greatest hurt will come from people you helped.
#TuesdayThoughts"
2019-02-19 11:13:01,"London, England",33,168,How do you structure your study? Are your goals SMART? #TuesdayThoughts #tutoring #london #mathstutor #sciencetutor… https://t.co/TfPXhDGRc6
2019-02-19 11:13:03,Nigeria,557,151,"#NowPlaying @meekmill - Meek-Mill-ft-Fabolous-Anuel-AA-Uptown-Vibes.mp3 On #unilagmusic  with @davidalbert_umw  

&gt;… https://t.co/RYXKI9hpE7"
2019-02-19 11:13:05,"Belfast, Northern Ireland",658,1369,Another fantastic #review from a happy candidate for BlackFox! This one is for #Engineering &amp; Manufacturing consult… https://t.co/YFJQpOR3u2
2019-02-19 11:13:07,EC4Y 8BH,1789,423,Fresh from @FivePointsBrew now available at the bar #realale #TuesdayThoughts #beer #sunny https://t.co/0I0HJlE3gp
2019-02-19 11:13:10,United States,828,937,"No Matter .Try Again, Fail Again , Fail Better.
#PositiveVibes #quotes #TuesdayThoughts #TuesdayMotivation… https://t.co/tX0zoRhJ5L"
2019-02-19 11:13:10,Music,288,380,"GLOBAL MUSIC 
Complete B O C Madaki Singles 2018: Songs You Can Never Get Enough With

https://t.co/CiPyXv69JC… https://t.co/kxDYn4hERJ"
2019-02-19 11:13:11,Everywhere but nowhere ,82,228,"#TuesdayThoughts i hate coming to uni so early in the morning, it's too cold here"
2019-02-19 11:13:11,"London, England",4070,3068,Stone cold classic @Variety https://t.co/VphfOdR1dt #TuesdayThoughts
2019-02-19 11:13:12,,417,568,#TuesdayThoughts - Could you leave wealth of £1 million – tax free? https://t.co/k0g4GS941W
2019-02-19 11:13:13,"Enugu, Nigeria",2910,415,"#NowPlaying 📻🎧🔊▶️- once-upon-a-time""'- 
@iamnedro
@patorankingfire
 on #playzone with @iamdjskipit

#tuesday… https://t.co/6RlcstulID"
2019-02-19 11:13:15,|Domain|LagNig|,545,415,"Happiness is so free I'd marry it.
#TuesdayThoughts https://t.co/aFqzYcTSoP"
2019-02-19 11:13:16,,650,597,"#TuesdayMotivation #inspirational #TuesdayThoughts
You can find strive in the presence of God and master the task o… https://t.co/qrXJAOWSHL"
2019-02-19 11:13:24,,0,0,Imagine with all your mind.  Believe with all your heart.  Achieve with all your might.  Express how you feel at… https://t.co/MvKQmvK7to
2019-02-19 11:13:25,London,1774,1458,Great to meet Marianne from @BlacklockChops Thanks for coming along for a visit #homelessness #addiction #London #TuesdayThoughts
2019-02-19 11:13:25,"Dhaka, Bangladesh",104,561,Are you looking for a #professional #businesscard #designer then #contact_me : https://t.co/B35uWyiE2n… https://t.co/0o4TLmTQKp
2019-02-19 11:13:30,"Ibadan, Nigeria",4971,4617,"#Vibing📻
  
Future In Your Eyes -@iamTJAN 

#TheZone with @yungboss42 

#TerrificTuesday #TuesdayThoughts 

 https://t.co/q6xaogarF0"
2019-02-19 11:13:32,"Effurun-Warri, Nigeria",969,541,"Even though the election were moved, we must not be deterred! Your participation in the polls would determine the p… https://t.co/Ns5SJFvImz"
2019-02-19 11:13:34,Brighton,2011,1078,"It turns out, when you go to the gym in brighton with glitter on your face and long, stray wig hairs hanging off yo… https://t.co/bxglhQdHOS"
2019-02-19 11:13:36,"Akure, Nigeria",40,144,So this d origin....😂😁😂😁 #lol #Naija #TuesdayThoughts https://t.co/7JpC9NUFVo
2019-02-19 11:13:38,,0,35,True talk brother
